1stFlrSF,2ndFlrSF,3SsnPorch,BedroomAbvGr,BldgType,BsmtCond,BsmtExposure,BsmtFinSF1,BsmtFinSF2,BsmtFinType1,BsmtFinType2,BsmtFullBath,BsmtHalfBath,BsmtQual,BsmtUnfSF,CentralAir,Condition1,Condition2,Electrical,EnclosedPorch,ExterCond,ExterQual,Exterior1st,Exterior2nd,Fireplaces,Foundation,FullBath,Functional,GarageArea,GarageCars,GarageCond,GarageFinish,GarageQual,GarageType,GarageYrBlt,GrLivArea,HalfBath,Heating,HeatingQC,HouseStyle,KitchenAbvGr,KitchenQual,LandContour,LandSlope,LotArea,LotConfig,LotFrontage,LotShape,LowQualFinSF,MSSubClass,MSZoning,MasVnrArea,MasVnrType,MiscVal,MoSold,Neighborhood,OpenPorchSF,OverallCond,OverallQual,PavedDrive,PoolArea,RoofMatl,RoofStyle,SaleCondition,SaleType,ScreenPorch,Street,TotRmsAbvGrd,TotalBsmtSF,Utilities,WoodDeckSF,YearBuilt,YearRemodAdd,YrSold
6.75343791859778,6.75110146893676,0.0,1.3862943611198906,1Fam,3,-1,6.561030665896573,0.0,6,1,0.6931471805599453,0.0,4,5.017279836814924,Y,Norm,Norm,SBrkr,0.0,2,3,VinylSd,VinylSd,0.0,PConc,1.0986122886681098,7,6.3080984415095305,1.0986122886681098,3,2,3,Attchd,2003.0,7.444833273892193,0.6931471805599453,GasA,4,2Story,0.6931471805599453,3,Lvl,Gtl,9.042040056544483,Inside,4.189654742026425,Reg,0.0,60,RL,5.2832037287379885,BrkFace,0.0,Feb,CollgCr,4.127134385045092,5,7,2,0.0,CompShg,Gable,Normal,WD,0.0,Pave,2.1972245773362196,6.75343791859778,3,0.0,2003,2003,2008
7.141245122350491,0.0,0.0,1.3862943611198906,1Fam,3,3,6.88653164253051,0.0,5,1,0.0,0.6931471805599453,4,5.652489180268651,Y,Feedr,Norm,SBrkr,0.0,2,2,MetalSd,MetalSd,0.6931471805599453,CBlock,1.0986122886681098,7,6.133398042996649,1.0986122886681098,3,2,3,Attchd,1976.0,7.141245122350491,0.0,GasA,4,1Story,0.6931471805599453,2,Lvl,Gtl,9.169622538697624,FR2,4.394449154672439,Reg,0.0,20,RL,0.0,None,0.0,May,Veenker,0.0,8,6,2,0.0,CompShg,Gable,Normal,WD,0.0,Pave,1.9459101490553132,7.141245122350491,3,5.700443573390687,1976,1976,2007
6.825460036255307,6.7650389767805414,0.0,1.3862943611198906,1Fam,3,1,6.18826412308259,0.0,6,1,0.6931471805599453,0.0,4,6.075346031088684,Y,Norm,Norm,SBrkr,0.0,2,3,VinylSd,VinylSd,0.6931471805599453,PConc,1.0986122886681098,7,6.411818267709897,1.0986122886681098,3,2,3,Attchd,2001.0,7.488293515159428,0.6931471805599453,GasA,4,2Story,0.6931471805599453,3,Lvl,Gtl,9.328212292571072,Inside,4.23410650459726,IR1,0.0,60,RL,5.093750200806762,BrkFace,0.0,Sep,CollgCr,3.7612001156935624,5,7,2,0.0,CompShg,Gable,Normal,WD,0.0,Pave,1.9459101490553132,6.825460036255307,3,0.0,2001,2002,2008
6.8690144506657065,6.6293632534374485,0.0,1.3862943611198906,1Fam,4,-1,5.37989735354046,0.0,5,1,0.6931471805599453,0.0,3,6.293419278846481,Y,Norm,Norm,SBrkr,5.60947179518496,2,2,Wd Sdng,Wd Shng,0.6931471805599453,BrkTil,0.6931471805599453,7,6.466144724237619,1.3862943611198906,3,1,3,Detchd,1998.0,7.4489161025442,0.0,GasA,3,2Story,0.6931471805599453,3,Lvl,Gtl,9.164401140034737,Corner,4.110873864173311,IR1,0.0,70,RL,0.0,None,0.0,Feb,Crawfor,3.58351893845611,5,7,2,0.0,CompShg,Gable,Abnorml,WD,0.0,Pave,2.0794415416798357,6.6293632534374485,3,0.0,1915,1970,2006
7.044032897274685,6.960347729101308,0.0,1.6094379124341003,1Fam,3,2,6.486160788944089,0.0,6,1,0.6931471805599453,0.0,4,6.19644412779452,Y,Norm,Norm,SBrkr,0.0,2,3,VinylSd,VinylSd,0.6931471805599453,PConc,1.0986122886681098,7,6.729824070489475,1.3862943611198906,3,2,3,Attchd,2000.0,7.695757990554761,0.6931471805599453,GasA,4,2Story,0.6931471805599453,3,Lvl,Gtl,9.565283817736766,FR2,4.442651256490317,IR1,0.0,60,RL,5.860786223465865,BrkFace,0.0,Dec,NoRidge,4.442651256490317,5,8,2,0.0,CompShg,Gable,Normal,WD,0.0,Pave,2.302585092994046,7.044032897274685,3,5.262690188904886,2000,2000,2008
6.680854678790215,6.340359303727752,5.771441123130016,0.6931471805599453,1Fam,3,-1,6.597145701886651,0.0,6,1,0.6931471805599453,0.0,4,4.174387269895637,Y,Norm,Norm,SBrkr,0.0,2,2,VinylSd,VinylSd,0.0,Wood,0.6931471805599453,7,6.175867270105761,1.0986122886681098,3,1,3,Attchd,1993.0,7.217443431696533,0.6931471805599453,GasA,4,1.5Fin,0.6931471805599453,2,Lvl,Gtl,9.55506418479516,Inside,4.454347296253507,IR1,0.0,50,RL,0.0,None,6.55250788703459,Oct,Mitchel,3.4339872044851463,5,5,2,0.0,CompShg,Gable,Normal,WD,0.0,Pave,1.791759469228055,6.680854678790215,3,3.713572066704308,1993,1995,2009
7.43543801981455,0.0,0.0,1.3862943611198906,1Fam,3,2,7.222566018822171,0.0,6,1,0.6931471805599453,0.0,5,5.762051382780177,Y,Norm,Norm,SBrkr,0.0,2,3,VinylSd,VinylSd,0.6931471805599453,PConc,1.0986122886681098,7,6.456769655572163,1.0986122886681098,3,2,3,Attchd,2004.0,7.43543801981455,0.0,GasA,4,1Story,0.6931471805599453,3,Lvl,Gtl,9.218804450388312,Inside,4.330733340286331,Reg,0.0,20,RL,5.231108616854587,Stone,0.0,Aug,Somerst,4.060443010546419,5,8,2,0.0,CompShg,Gable,Normal,WD,0.0,Pave,2.0794415416798357,7.430707082545968,3,5.545177444479562,2004,2005,2007
7.010311867307229,6.891625897052253,0.0,1.3862943611198906,1Fam,3,1,6.756932389247553,3.4965075614664802,5,4,0.6931471805599453,0.0,4,5.37989735354046,Y,PosN,Norm,SBrkr,5.43372200355424,2,2,HdBoard,HdBoard,1.0986122886681098,CBlock,1.0986122886681098,7,6.184148890937483,1.0986122886681098,3,2,3,Attchd,1973.0,7.645397699428633,0.6931471805599453,GasA,4,2Story,0.6931471805599453,2,Lvl,Gtl,9.247925132303454,Corner,4.4271244869561865,IR1,0.0,60,RL,5.484796933490655,Stone,5.860786223465865,Nov,NWAmes,5.3230099791384085,6,7,2,0.0,CompShg,Gable,Normal,WD,0.0,Pave,2.0794415416798357,7.010311867307229,3,5.4638318050256105,1973,1973,2009
6.930494765951626,6.6240652277998935,0.0,1.0986122886681098,1Fam,3,-1,0.0,0.0,1,1,0.0,0.0,3,6.859614903654202,Y,Artery,Norm,FuseF,5.327876168789581,2,2,BrkFace,Wd Shng,1.0986122886681098,BrkTil,1.0986122886681098,6,6.150602768446279,1.0986122886681098,3,1,2,Detchd,1931.0,7.4815557019095165,0.0,GasA,3,1.5Fin,1.0986122886681098,2,Lvl,Gtl,8.71948076085107,Inside,3.9512437185814275,Reg,0.0,50,RM,0.0,None,0.0,Apr,OldTown,0.0,5,7,2,0.0,CompShg,Gable,Abnorml,WD,0.0,Pave,2.1972245773362196,6.859614903654202,3,4.51085950651685,1931,1950,2008
6.982862751468942,0.0,0.0,1.0986122886681098,2fmCon,3,-1,6.747586526829315,0.0,6,1,0.6931471805599453,0.0,3,4.948759890378168,Y,Artery,Artery,SBrkr,0.0,2,2,MetalSd,MetalSd,1.0986122886681098,BrkTil,0.6931471805599453,7,5.327876168789581,0.6931471805599453,3,2,4,Attchd,1939.0,6.982862751468942,0.0,GasA,4,1.5Unf,1.0986122886681098,2,Lvl,Gtl,8.912069097970134,Corner,3.9318256327243257,Reg,0.0,190,RL,0.0,None,0.0,Jan,BrkSide,1.6094379124341003,6,5,2,0.0,CompShg,Gable,Normal,WD,0.0,Pave,1.791759469228055,6.899723107284872,3,0.0,1939,1950,2008
